Pool Name,Risk (Exponential),Yield (30d APY),Pool URL (Exponential),Protocol name,Assets (tickers),Assets (names),Protocol,Assets
Lifinity SOL-USDT Market Making,C,0.4803,https://exponential.fi/pools/73dca451-a5fa-4930-8a3e-834636b5258b,Lifinity,"SOL,USDT","SOL,Tether USD (Native Solana)",https://www.notion.so/Lifinity-016af7659bf943daae0512b11acbf1fb,"https://www.notion.so/SOL-f8685a5af633437a90071cab4c6cf071, https://www.notion.so/Tether-USD-Native-Solana-dc47a55d63dd4053a3258e2f32e0eec0"
Lifinity mSOL-USDC Market Making,D,0.4189,https://exponential.fi/pools/cb9c1d59-0f7b-4b9d-8a11-5a2973ff572c,Lifinity,"USDC,MSOL","USD Coin (Native Solana),Marinade Staked SOL",https://www.notion.so/Lifinity-016af7659bf943daae0512b11acbf1fb,"https://www.notion.so/USD-Coin-Native-Solana-b0430fe3f8d44468aae4d221c5f45bc0, https://www.notion.so/Marinade-Staked-SOL-6ecf09ab275048909ecbe56c1264d1e4"
SpookySwap FTM-USD Market Making,C,0.3893,https://exponential.fi/pools/99f2e55e-9cae-4183-86cf-69eba8d63cb0,SpookySwap,"fUSDT,FTM","Frapped USDT (Fantom),Fantom",https://www.notion.so/SpookySwap-4453b892e8bf46e29aa847bf44ae5aee,"https://www.notion.so/Frapped-USDT-Fantom-57fb2c52078d42df95004240d2f02abc, https://www.notion.so/Fantom-099074c6a5e846a19c2911ffb4209fd4"
Spookyswap FTM-USD Market Making,C,0.3659,https://exponential.fi/pools/74cae28a-efcb-4037-9430-acfb0d81a97c,SpookySwap,"USDC,FTM","USD Coin (Fantom),Fantom",https://www.notion.so/SpookySwap-4453b892e8bf46e29aa847bf44ae5aee,"https://www.notion.so/USD-Coin-Fantom-62a69620e38f465ab7b3fbb36d336b01, https://www.notion.so/Fantom-099074c6a5e846a19c2911ffb4209fd4"
Lifinity stSOL-USDC Market Making,C,0.3533,https://exponential.fi/pools/788452fe-9a22-4822-aa41-853aa86486d5,Lifinity,"stSOL,USDC","Lido Staked SOL,USD Coin (Native Solana)",https://www.notion.so/Lifinity-016af7659bf943daae0512b11acbf1fb,"https://www.notion.so/Lido-Staked-SOL-268d03eb65e64fbb9e8a06fdecd1c58d, https://www.notion.so/USD-Coin-Native-Solana-b0430fe3f8d44468aae4d221c5f45bc0"
SpookySwap FTM-USD Market Making,C,0.3513,https://exponential.fi/pools/26ea3da9-3116-4294-98f4-20682a9f17ac,SpookySwap,"DAI,FTM","Dai Stablecoin (Fantom),Fantom",https://www.notion.so/SpookySwap-4453b892e8bf46e29aa847bf44ae5aee,"https://www.notion.so/Dai-Stablecoin-Fantom-08ce915fb42446beb656af5fdb310a64, https://www.notion.so/Fantom-099074c6a5e846a19c2911ffb4209fd4"
SpookySwap FTM-USD Market Making,C,0.2288,https://exponential.fi/pools/b9268bdb-0e95-4839-8ef1-40b0799f6dcd,SpookySwap,"MIM,FTM","Magic Internet Money (Fantom),Fantom",https://www.notion.so/SpookySwap-4453b892e8bf46e29aa847bf44ae5aee,"https://www.notion.so/Magic-Internet-Money-Fantom-411f574fdda94eaeba7578c473804c7d, https://www.notion.so/Fantom-099074c6a5e846a19c2911ffb4209fd4"
Pangolin AVAX-USD Market Making,C,0.2204,https://exponential.fi/pools/a642ab16-218a-4cb6-913d-9e7eb576c596,Pangolin,"USDC,AVAX","USD Coin Avalanche Bridged,Avalanche",https://www.notion.so/Pangolin-d2b5214a0c9c40608367b30c11103f01,"https://www.notion.so/USD-Coin-Avalanche-Bridged-f53a8bb79e4d47c8be610da9aeeaef77, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6"
DeFiChain DFI-USD Market Making,C,0.2073,https://exponential.fi/pools/12894703-a5ab-41ca-b016-1e4555530865,DeFiChain Dex,"dUSDC,DFI","DeFiChain USD Coin,DeFiChain",https://www.notion.so/DeFiChain-Dex-482f16505a3542d1b1d115c0448424c3,"https://www.notion.so/DeFiChain-USD-Coin-48b387ee6dcb42ab8eee154644a451be, https://www.notion.so/DeFiChain-0cb8b70f893041c481a40d534d365c5e"
DeFiChain DFI-USD Market Making,C,0.2003,https://exponential.fi/pools/d673ec71-e1ec-4acd-853f-a6467f866c3d,DeFiChain Dex,"dUSDT,DFI","DeFiChain Tether USD,DeFiChain",https://www.notion.so/DeFiChain-Dex-482f16505a3542d1b1d115c0448424c3,"https://www.notion.so/DeFiChain-Tether-USD-0f75b765e2734cabb8636670fc0139e6, https://www.notion.so/DeFiChain-0cb8b70f893041c481a40d534d365c5e"
