Associated Pools,Name,Ticker,Risk Rating (Exponential),Chain
,iearn DAI,yDAI,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
,Aave interest bearing DAI,aDAI,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/SpookySwap-FTM-USD-Market-Making-29d0daa3feb04ddf93a57f4575946af9, https://www.notion.so/Beethoven-USD-Market-Making-fb6c2cb47e2e419eb83eb2e501c17400, https://www.notion.so/Beethoven-USD-Market-Making-fddfddcfc4b248909d242387c058c119",Dai Stablecoin (Fantom),DAI,Good,https://www.notion.so/Fantom-5c7c8e52ab29487bba272e685a020f5e
"https://www.notion.so/Trader-Joe-V2-USD-Market-Making-04e48f565dfc47568aa6e4c3cae9cfbc, https://www.notion.so/Synapse-USD-Market-Making-7eb27d3411fd49a3b464a1709db1f67c, https://www.notion.so/Beefy-Tricrypto-Market-Making-cfa19578ce734c98947ee51b4728920d, https://www.notion.so/Trader-Joe-AVAX-USD-Market-Making-7503c07fa9a246468495c1870680d6ee, https://www.notion.so/Aave-USD-Lending-legacy-v2-2ec662373921479090e94bd8156d794e, https://www.notion.so/Aave-USD-Lending-eb9b5e153f7f43bfa4dac5d9a88b122c, https://www.notion.so/Trader-Joe-USD-Lending-f1156f9491de4eccb08a7865a12f2aea, https://www.notion.so/Beefy-USD-Market-Making-4b17060adfea48d1b77de24f1534e30c, https://www.notion.so/Benqi-USD-Lending-90981e708fad449bb68cd7f3e7521dfa, https://www.notion.so/Platypus-USD-Market-Making-2194873c7c6a4d799f47de29c1359873",Dai Stablecoin (Avalanche),DAI,Good,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/Mero-USD-Staking-a2f8c6dcb9aa405f9a695355a4c2f790, https://www.notion.so/Mero-USD-Staking-2bdb4c14871c407bb4850905443f13de, https://www.notion.so/UwU-USD-Lending-69957c7a21a14c52afbcbd3a58288b8b, https://www.notion.so/Convex-USD-Market-Making-94fcc59cae104390b469f3216d26bcec, https://www.notion.so/Notional-USD-Market-Making-79447ce2475646adaa03d2cda563f701, https://www.notion.so/Gearbox-USD-Lending-9035bd5180414ff59f2cdd93c388736c, https://www.notion.so/Notional-USD-Fixed-Term-Lending-6-21-be5fc6a20b934aa3b5f98cf8aad16439, https://www.notion.so/Notional-USD-Fixed-Term-Lending-12-18-21a9e9470df249cd93501f15d4217cc6, https://www.notion.so/Sommelier-USD-Yield-18a24e1d0a69425ebb82b40425e48859, https://www.notion.so/Mero-USD-Staking-37f123f31bc14d9ebbcfa26f15dba858, https://www.notion.so/Yearn-USD-Market-Making-11b90fea148b442bb6851c4120b5b4e2, https://www.notion.so/Clipper-Tricrypto-Market-Making-7e0de2bb24024e5c9911d083a42ff43a, https://www.notion.so/Uniswap-ETH-USD-Market-Making-5bp-daa974c82bd8458393c2100084408978, https://www.notion.so/Uniswap-ETH-USD-Market-Making-30bp-0a4857865156426ab5e2558f503ed7c2, https://www.notion.so/Aave-USD-Lending-39fb9beed116426a8202a7c09216dfd9, https://www.notion.so/Across-USD-Bridging-cb4bc80359b64d3cb9134768113081ca, https://www.notion.so/Angle-USD-Lending-fcaa7f383dca4c40a29b01e8289e70a1, https://www.notion.so/Balancer-USD-Market-Making-0c1aad74957846edba3adaf48001d69d, https://www.notion.so/Convex-EUR-USD-Market-Making-1bdb08806d45478cbfa7d70b3a2364d9, https://www.notion.so/Convex-USD-Market-Making-ab104c85d1744f76aefa287673949cb6, https://www.notion.so/Convex-USD-Market-Making-0967fbca1a2f43e0842b39401aac316e, https://www.notion.so/Convex-USD-Market-Making-c567199bead44bc59b1fdf31d69df59b, https://www.notion.so/Curve-USD-Market-Making-8462c945b6064371a79c3a3408ab6fee, https://www.notion.so/Curve-USD-Market-Making-537ecc567bfd41c19904134c6f8606c3, https://www.notion.so/Curve-USD-Market-Making-e93e4bac4e814e1b90f5f23ffd09fee8, https://www.notion.so/Curve-USD-Market-Making-6dc3dc79bc024684b87422c0390192af, https://www.notion.so/Euler-USD-Lending-94cf7562719a4fd8a01aa281c26817c7, https://www.notion.so/Idle-USD-Lending-16d3c8338e0d49148816c4fbc5325fdb, https://www.notion.so/Morpho-Aave-USD-Lending-547601d687a34facb7a2a25ca757f882, https://www.notion.so/Morpho-Compound-USD-Lending-12de7880986c45298f7c476b931d316d, https://www.notion.so/Notional-USD-Fixed-Term-Lending-3-23-6e8313c6a0c64901a466018d5c6e2323, https://www.notion.so/Sturdy-USD-Lending-8a0111f9d74541a7b93fdd27dc643e2a, https://www.notion.so/Tokemak-USD-Market-Making-278705cf85734ae898ac4d5c45f69313, https://www.notion.so/Yearn-USD-Market-Making-d6740339d9a448bc880d291290625792, https://www.notion.so/Yearn-USD-Staking-f8502b80bde341b89494b0bada03b385, https://www.notion.so/Yearn-USD-Market-Making-5b592a20fb6542b7ab0c5145c07d924b, https://www.notion.so/Yearn-USD-Lending-378a1fe74ae24a6f831cf9b34e692672",Dai Stablecoin,DAI,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Curve-USD-Market-Making-a0f99bf1384d4d9fbfffc908f99a4f13, https://www.notion.so/Yearn-USD-Market-Making-39814a7f77d545e689b51e2f79217c4a",Iron Bank (Yearn) Dai Stablecoin,cyDAI,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Curve-USD-Market-Making-a883dd95ad154f45a44207755e952d82,Aave Avalanche Market Dai,aDAI,Good,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/Gains-USD-Market-Making-fe34d3bf5866437c9837e8370d84f8ed, https://www.notion.so/Uniswap-ETH-USD-Market-Making-86a753aeecfd4291a5d56068e0f9b8d6, https://www.notion.so/Radiant-USD-Lending-dfea0a6bbf124e46ac03e1047a85758a, https://www.notion.so/3xcaliSwap-USD-Market-Making-c2de793ab5194f3dbaa04f83bd7cf5af",Dai Stablecoin (Arbitrum),DAI,Good,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
"https://www.notion.so/Gains-USD-Market-Making-67b322d60e87486cb852caa4c54107b1, https://www.notion.so/Synapse-USD-Market-Making-f859a5f6d25042359e15bee604f210da, https://www.notion.so/Clipper-Tricrypto-MATIC-Market-Making-ef19e460d97c4a58a2366e9a7d7eed8f, https://www.notion.so/Beefy-Tricrypto-Market-Making-8c6b5810b65540189dd8b7f7edb326a4, https://www.notion.so/Balancer-USD-Market-Making-cc0b13a6388e4c29a374df4f1c67eee3, https://www.notion.so/Beefy-EUR-USD-Market-Making-3a89655bb4f64fabb12343535839048d, https://www.notion.so/KyberSwap-USD-Market-Making-a331674f6f96412186709644a944aef6, https://www.notion.so/0VIX-USD-Lending-bf39d51aeeb84bcf8764daee9cac0e6e, https://www.notion.so/Uniswap-USD-Market-Making-5f025432a6f54c8381a2034c73761357",Dai Stablecoin (PoS Polygon),DAI,Good,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
https://www.notion.so/Beethoven-USD-Market-Making-01d06239478d424c8a1640d198871ef0,DEI,DEI,Watch Out,https://www.notion.so/Fantom-5c7c8e52ab29487bba272e685a020f5e
"https://www.notion.so/DeFiChain-BTC-DFI-Market-Making-2ac6a2784853481cbf482439b6ea0974, https://www.notion.so/DeFiChain-ETH-DFI-Market-Making-1b44bd09f0494624a67ae787f7f2ce8f, https://www.notion.so/DeFiChain-DFI-USD-Market-Making-8c3e56df8d96418fa75b1573289147d0, https://www.notion.so/DeFiChain-DFI-USD-Market-Making-a7b66376dead4c288db2f6214aa38ccf, https://www.notion.so/DeFiChain-DFI-USD-Market-Making-e95494ab283b43638ca87d79ed273f78",DeFiChain,DFI,Best,https://www.notion.so/DeFiChain-4190c34f5f8e498380040b2808751198
"https://www.notion.so/DeFiChain-USD-Market-Making-da1d3f809e0d492fbc36b9f2b8ecb732, https://www.notion.so/DeFiChain-USD-Market-Making-18f47f6cf3d34b0ebd36c9591bb401cd, https://www.notion.so/DeFiChain-DFI-USD-Market-Making-e95494ab283b43638ca87d79ed273f78",Decentralized USD,DUSD,Watch Out,https://www.notion.so/DeFiChain-4190c34f5f8e498380040b2808751198
,dYdX,DYDX,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Uniswap-ETH-ENS-Market-Making-1a55bb97a26048fbb06de01a877d5224,Ethereum Name Service,ENS,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Sonne-ETH-Lending-552c84e64adc4a12b11b0710a552595e,Wrapped Ether (Optimism),WETH,Best,https://www.notion.so/Optimism-bc636b25a65b4524ac249b8e626cad75
https://www.notion.so/AutoFarm-ETH-CRO-Market-Making-7d84f1cd6a9c491a8dfe1e0daf436ef3,Wrapped Ether (Cronos),WETH,Good,https://www.notion.so/Cronos-28f01dd1f51341d4aee928b88d26c498
"https://www.notion.so/Idle-ETH-Perpetual-Yield-Tranches-Senior-943a78de18564563a316f371e81c811b, https://www.notion.so/Yearn-ETH-Market-Making-13d918e565d044d48f33a11d33376484, https://www.notion.so/Pendle-ETH-Principal-Token-3-29-e8033cad82244b2992628ea0a36ccf92, https://www.notion.so/Pendle-ETH-Yield-Token-6-28-e8f042b6c0bf4efab8824ac84acf82b8, https://www.notion.so/Pendle-ETH-Market-Making-3-29-5943e072f0234f2289301df48fc04b01, https://www.notion.so/Pendle-ETH-Market-Making-6-28-f576cbb41cf54c7bbe3ae9ca2e6b79ae, https://www.notion.so/Pendle-ETH-Yield-Token-3-29-3af526d71ca24723abb52f0d5d0a981a, https://www.notion.so/Idle-ETH-Perpetual-Yield-Tranches-Junior-0349d0e4c245412abb85e69290805295, https://www.notion.so/StakeDAO-ETH-Market-Making-282926e5b71c4fcbb178163b7f98bf28, https://www.notion.so/Convex-ETH-Market-Making-548d86c76c8c4134b702118825c7bd29, https://www.notion.so/Pendle-ETH-Principal-Token-6-28-c3c60d79b53146bc8d3baa9b71c76bfb",Lido Staked ETH,stETH,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/DeFiChain-ETH-DFI-Market-Making-1b44bd09f0494624a67ae787f7f2ce8f,DeFiChain Ether,dETH,Good,https://www.notion.so/DeFiChain-4190c34f5f8e498380040b2808751198
"https://www.notion.so/cBridge-ETH-Optimism-f6dca79b215243b29bef24e4256cfb05, https://www.notion.so/KyberSwap-ETH-Market-Making-554021e69f1d4d20983b7c408670907a, https://www.notion.so/Beethoven-ETH-Market-Making-e40bcbca0ff84622bb894183ceaf4856, https://www.notion.so/Reaper-Farm-ETH-Lending-71138ea151e04978a7fcde20df009a63, https://www.notion.so/Synapse-ETH-Market-Making-a0072ffdfeb24e429af2db7fb4defc50, https://www.notion.so/Clipper-Tricrypto-LINK-OP-Market-Making-72f493cf3cf84dbb97a576eb2f8613c0, https://www.notion.so/Uniswap-BTC-ETH-Market-Making-cfeb8faa6d8c422e83c13772dae6df5a, https://www.notion.so/Uniswap-ETH-USD-Market-Making-be7393fb43504ca78c740320c635cee9, https://www.notion.so/Uniswap-ETH-USD-Market-Making-8080b81c6ebd4a869a6c30f888469010, https://www.notion.so/Aave-ETH-Lending-0acb0de64e45457eb0765be55e87f095, https://www.notion.so/Yearn-ETH-Lending-815e8c9ec8274fddb8c540dde41ad027",Ether (Optimism),ETH,Best,https://www.notion.so/Optimism-bc636b25a65b4524ac249b8e626cad75
"https://www.notion.so/Beethoven-FTM-Tricrypto-Market-Making-bb4c41e61f83404089766bcd1c704dec, https://www.notion.so/Spookyswap-FTM-ETH-Market-Making-4bc9e5155ee342d39a6c3be85a0db7c4",Ether (Fantom),ETH,Best,https://www.notion.so/Fantom-5c7c8e52ab29487bba272e685a020f5e
"https://www.notion.so/Jones-Dao-ETH-Market-Making-0f8c3274f31b4303a9fa98b06f9feaa1, https://www.notion.so/Synapse-ETH-Market-Making-ab6d5b84497e42b0b259be768ac3c291, https://www.notion.so/Beefy-ETH-Market-Making-55bb21b00a9140fdadaa84ad4909cdfa, https://www.notion.so/Dopex-ETH-Weekly-Calls-689892fe4ca84551b9dc9271176ca00d, https://www.notion.so/Dopex-ETH-Monthly-Calls-1be91a24b3c542bebd929ee1532536ef, https://www.notion.so/Jones-Dao-ETH-Calls-2a94759f07ef4580a3c0fcbf24a20050, https://www.notion.so/Beefy-Tricrypto-Market-Making-fd14f08ed5fb4071a077e234d007eb91, https://www.notion.so/Balancer-Tricrypto-Market-Making-edad4fe8eacf4472a846eda067bff53b, https://www.notion.so/Beefy-Tricrypto-Market-Making-9348ac59ae594784a9fedd5f76e60c65, https://www.notion.so/RageTrade-Tricrypto-Market-Making-6af5484a10e84e97b9f13014100137cd, https://www.notion.so/Uniswap-BTC-ETH-30bp-Market-Making-de0ba1e115e04b6dafc3f03f7923df3e, https://www.notion.so/Uniswap-UMAMI-ETH-Market-Making-100bp-3d71882b28c942f7ac581d1512a17a12, https://www.notion.so/Uniswap-ETH-GMX-Market-Making-484489897c6d49c4ba0167edc999e60c, https://www.notion.so/Sushi-ETH-DPX-Market-Making-ce0516ec4c144c248f81fbc087366d42",Ether (Arbitrum),ETH,Best,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
"https://www.notion.so/PancakeSwap-BTC-ETH-Market-Making-7d0c2bd744634be39f258bce2d1f389f, https://www.notion.so/AutoFarm-ETH-BNB-Market-Making-59756717cfc949ba951bf62debea5665, https://www.notion.so/cBridge-ETH-BNB-Chain-329eb022c6084223adaf30afe7c30364, https://www.notion.so/Pancakeswap-BNB-ETH-Market-Making-d1fdbaae1e1e4e0da933e0526a73e07e, https://www.notion.so/Venus-ETH-Lending-9159b640e70d4a6facfdb26d082af173",Binance-Peg Ethereum Token,ETH,Good,https://www.notion.so/BNB-Chain-c98ffd928880485e871d933cc7ba0384
"https://www.notion.so/Euler-ETH-Lending-508461660faa42fc8f20c26fc53546af, https://www.notion.so/Balancer-ETH-Market-Making-a3cf467cb3424c73a7c2487fc25eadf6, https://www.notion.so/Balancer-ETH-Market-Making-6c2007d4ef5343b1b36031da2e587f43, https://www.notion.so/Lido-ETH-Staking-76e1138f73344224a44cbd87c292c4eb, https://www.notion.so/Rocket-Pool-ETH-Staking-6d002ef3cb3c4c898a6113bc57b2e9cc, https://www.notion.so/Yearn-ETH-Market-Making-13d918e565d044d48f33a11d33376484, https://www.notion.so/Coinbase-ETH-Staking-93178d0c9df341548a6512544cc951ec, https://www.notion.so/Curve-ETH-Market-Making-a7f155e548b0461db0e2e7fe659f8789, https://www.notion.so/Notional-ETH-Fixed-Term-Lending-3-23-24e0291390164d10a9084cd1af9ac351, https://www.notion.so/Notional-ETH-Fixed-Term-Lending-6-21-d479a82fb7aa4621bfdcdcff314778f9, https://www.notion.so/Notional-ETH-Market-Making-0dcea8c7c49b4beaabddd5abbc05d394, https://www.notion.so/Gearbox-ETH-Lending-c90a497399b1453abf43207c06eb14f9, https://www.notion.so/BendDAO-ETH-Lending-d5353f21ae2c45c684f6f38eada4ac8b, https://www.notion.so/Convex-ETH-Market-Making-b546005334a649e3bd5ddf8907f34720, https://www.notion.so/Uniswap-ETH-Market-Making-c947739867ee4836ae0bd045e2f781e0, https://www.notion.so/Yearn-ETH-Market-Making-74bfcee55f064a0185baa291799e592d, https://www.notion.so/Convex-ETH-Market-Making-85d223b59f0444c882a97a98d7939cff, https://www.notion.so/StakeDAO-ETH-Market-Making-282926e5b71c4fcbb178163b7f98bf28, https://www.notion.so/Yearn-ETH-Market-Making-6793a74cfbfe434b8b8793127ed50106, https://www.notion.so/Uniswap-ETH-Market-Making-22c69945082a495abc5b7d3354c30406, https://www.notion.so/Across-ETH-Bridging-f3d875b02f5c49fdb8d59ea21b31fac3, https://www.notion.so/Curve-ETH-Market-Making-28359b7a4ddc49259c459f2dc52b0d65, https://www.notion.so/Tokemak-ETH-Market-Making-77cd6edb56cd44eeaca5099d1d451e01, https://www.notion.so/Mero-ETH-Staking-b6a50aad50c848548469635fa929a1ab, https://www.notion.so/Ribbon-ETH-Calls-aeae7e2e8ea044fd9df4a06a7f3646ae, https://www.notion.so/Clipper-Tricrypto-Market-Making-7e0de2bb24024e5c9911d083a42ff43a, https://www.notion.so/Yearn-Tricrypto-Market-Making-2a046da84b9e4322898ae81135100278, https://www.notion.so/Curve-Tricrypto-Market-Making-5833acceac99451e98171487dc0bc9d4, https://www.notion.so/Sommelier-ETH-BTC-Trend-20fe0878125e40869b88e754a5c482b0, https://www.notion.so/Sommelier-ETH-BTC-Momentum-dc1007792a784ccab723ab0076d42e52, https://www.notion.so/Uniswap-BTC-ETH-5bp-Market-Making-806b4f6cd11a4579afe4a39de6bf87e4, https://www.notion.so/Balancer-BTC-ETH-Market-Making-43698178c5274b319a57ea2284227415, https://www.notion.so/Uniswap-ETH-OP-Market-Making-2b5c0abad3344a88bda4b6ac144f8be6, https://www.notion.so/Uniswap-ETH-LOOKS-Market-Making-1558792bcd684a40b84e5888492f9439, https://www.notion.so/Uniswap-ETH-ENS-Market-Making-1a55bb97a26048fbb06de01a877d5224, https://www.notion.so/Convex-ETH-CRV-Market-Making-bb0747c7004749c39023314afe7cd7d9, https://www.notion.so/Convex-ETH-CVX-Market-Making-4824f186448d4c869ea9cf54e1376d3b, https://www.notion.so/Yearn-CVX-ETH-Market-Making-772863406d894c7686b02e400348c03e, https://www.notion.so/Uniswap-ETH-UNI-Market-Making-906b5b3d771641b19a57103efe9da52f, https://www.notion.so/Yearn-CRV-ETH-Market-Making-82a946b18f6b48b98f6b7f58571b9986, https://www.notion.so/Aave-AAVE-ETH-Staking-56b26844758244a69ac8bd385136c4de, https://www.notion.so/Uniswap-ETH-USD-Market-Making-5bp-64e77b984de241418094291dbd98611e, https://www.notion.so/Uniswap-ETH-USD-Market-Making-5b907562ded34aa5b5b9631f0bcacb51, https://www.notion.so/Uniswap-ETH-USD-Market-Making-5bp-daa974c82bd8458393c2100084408978, https://www.notion.so/Uniswap-ETH-USD-Market-Making-7e8d7cc9ac0a44768cb93b28653e715f, https://www.notion.so/Uniswap-ETH-USD-Market-Making-30bp-0a4857865156426ab5e2558f503ed7c2, https://www.notion.so/PancakeSwap-ETH-USD-Market-Making-a96b949b61d34a49a6688f717e114c72, https://www.notion.so/Uniswap-ETH-USD-Market-Making-3bed3b1ff0ac4a379a6fc88053de5d87, https://www.notion.so/Aave-ETH-Lending-f879b6720f2c4cdb97834876b46cb79b, https://www.notion.so/Balancer-COMP-ETH-Market-Making-e9181d60939d45bf89d97b33966ba90e, https://www.notion.so/cBridge-ETH-Ethereum-9129ba9d3c03471b8286727eaca594aa, https://www.notion.so/Compound-ETH-Lending-3ce0319964724dda95429167c0b15ce1, https://www.notion.so/Convex-ETH-Market-Making-548d86c76c8c4134b702118825c7bd29, https://www.notion.so/Idle-ETH-Lending-70af823dea2b4b2cb64fad4d1dfc4395, https://www.notion.so/Morpho-Aave-ETH-Lending-24ce7ca7fbaa4c87b0988cfda6843d1a, https://www.notion.so/Morpho-Compound-ETH-Lending-9e8ed99f90614f409750209e40749795, https://www.notion.so/PancakeSwap-ETH-USD-Market-Making-61300316e6ce4ca5b7fc45277de1de6e, https://www.notion.so/PancakeSwap-BTC-ETH-Market-Making-636825805e9e42c489434d72ed09d059, https://www.notion.so/Uniswap-ETH-USD-Market-Making-30bp-b742251196384a3ba1553de42b1651bd, https://www.notion.so/Yearn-ETH-Staking-db6fb4890748471c9d1aa31bb24cbc14, https://www.notion.so/Yearn-ETH-Market-Making-e85aa83399c940e09a3b9fd04e960118",Ether,ETH,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
,Wrapped Ether (Avalanche),ETH,Best,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/cBridge-ETH-Polygon-903124adb2764dcbb41cd453ae9c8adb, https://www.notion.so/Clipper-Tricrypto-MATIC-Market-Making-ef19e460d97c4a58a2366e9a7d7eed8f, https://www.notion.so/Balancer-Tricrypto-Market-Making-9e115ccbd19448798675a7a6237f46d9, https://www.notion.so/Beefy-Tricrypto-Market-Making-8c6b5810b65540189dd8b7f7edb326a4, https://www.notion.so/Uniswap-BTC-ETH-Market-Making-610572a8b23f418487180c35e66560f3, https://www.notion.so/KyberSwap-BTC-ETH-Market-Making-128ee471629f48dca2dc78ede4659df6, https://www.notion.so/Uniswap-ETH-MATIC-Market-Making-5ca9a69050304f8ba0dd0877855ed738, https://www.notion.so/Quickswap-MATIC-ETH-Market-Making-c680bc8427a34a9e904ff0184c25d58d, https://www.notion.so/Uniswap-ETH-USD-Market-Making-9e3d44563ba5416e88dc58c6084dbf4d, https://www.notion.so/QuickSwap-ETH-USD-Market-Making-1f7ffd5940a34208b298033370ad4d39",Wrapped Ether (PoS Polygon),ETH,Best,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
"https://www.notion.so/Raydium-SOL-ETH-Market-Making-c64c2082ee47418e94b39b36e9cb111d, https://www.notion.so/Raydium-SOL-ETH-Market-Making-d50d08e7cc8346379e82a4fd67342b97",Wrapped Ether (Wormhole Solana),ETH,Best,https://www.notion.so/Solana-022c24c585b842e8864b91dd63e37f5a
,Fei USD,FEI,Watch Out,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Curve-FIDU-USD-Market-Making-80097f111843424cbbe9a4cde2a7c30e,Fidu,FIDU,Watch Out,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
,Frax (Optimism),FRAX,Watch Out,https://www.notion.so/Optimism-bc636b25a65b4524ac249b8e626cad75
"https://www.notion.so/Convex-EUR-USD-Market-Making-2d49f8c3e7804548afb5c16167243c1d, https://www.notion.so/UwU-USD-Lending-2dc69ce9a56f43f09233fdee029ffa90, https://www.notion.so/Convex-USD-Market-Making-94fcc59cae104390b469f3216d26bcec, https://www.notion.so/Pendle-USDC-Principal-Token-3-29-9af18503e1cb4efca06ebe4812b66476, https://www.notion.so/Mero-USD-Staking-0bb3c24051554e779ef701c341be2416, https://www.notion.so/Pendle-USDC-Market-Making-3-29-53ff00f2b2684fc1b116e2a21f7516af, https://www.notion.so/Pendle-USDC-Yield-Token-3-29-c48eb672f5d140309917cfbaa124813f, https://www.notion.so/Llama-Airforce-FXS-Fee-Sharing-fb090af9b8f54c80b01ee703ca266ca1, https://www.notion.so/Curve-USD-Market-Making-537ecc567bfd41c19904134c6f8606c3, https://www.notion.so/Tokemak-USD-Market-Making-8b496dd1b98746318a6298b082da23f5",Frax (Ethereum),FRAX,Watch Out,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Platypus-USD-Market-Making-72c9f47b8c764299a4a9462bf88e01bf,Frax (Avalanche),FRAX,Watch Out,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
,Frax (Arbitrum),FRAX,Watch Out,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
"https://www.notion.so/Curve-ETH-Market-Making-a7f155e548b0461db0e2e7fe659f8789, https://www.notion.so/Frax-ETH-Staking-44896f5abed34a9ca90c08d0e4f0b0f6",Frax Ether,frxETH,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Yearn-FTM-Staking-a4f66b0d67e9412588fed1f8b7a6788c,Wrapped Fantom,WFTM,Best,https://www.notion.so/Fantom-5c7c8e52ab29487bba272e685a020f5e
"https://www.notion.so/Beefy-FTM-Staking-31c29302a5dc45199b4a2e164113f6f3, https://www.notion.so/Stader-FTM-Staking-798db6fa8bd147e787b9a84aff8c45fe, https://www.notion.so/Spookyswap-FTM-BOO-Market-Making-da7cf66f09d84ceda0e6c86fa95279eb, https://www.notion.so/Beethoven-FTM-Tricrypto-Market-Making-bb4c41e61f83404089766bcd1c704dec, https://www.notion.so/Beefy-AVAX-FTM-Market-Making-11c3944d9d4e4bec90dd031510617701, https://www.notion.so/Spookyswap-FTM-ETH-Market-Making-4bc9e5155ee342d39a6c3be85a0db7c4, https://www.notion.so/SpookySwap-FTM-USD-Market-Making-4e7e2b8e658e4e23a1126f5d92873b73, https://www.notion.so/Spookyswap-FTM-USD-Market-Making-2efe58e1bd5f4bdba849dbe11225b46b, https://www.notion.so/SpookySwap-FTM-USD-Market-Making-29d0daa3feb04ddf93a57f4575946af9, https://www.notion.so/SpookySwap-FTM-USD-Market-Making-77e23f470dd14d508ff7aa0d6ff1a4b9",Fantom,FTM,Best,https://www.notion.so/Fantom-5c7c8e52ab29487bba272e685a020f5e
,Wrapped FTT (Wormhole),FTT,Watch Out,https://www.notion.so/Solana-022c24c585b842e8864b91dd63e37f5a
,Convex FXS,cvxFXS,Watch Out,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Llama-Airforce-FXS-Fee-Sharing-fb090af9b8f54c80b01ee703ca266ca1, https://www.notion.so/StakeDAO-FXS-Staking-28f70aca4b94471a8f299f3bbd2306a2",Frax Share (Ethereum),FXS,Watch Out,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/GMX-AVAX-Tricrypto-Market-Making-11170c56506b42e598648d9d458d5545,GMX LP (Avalanche),GLP,Good,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
https://www.notion.so/GMX-Crypto-Market-Making-65877b01b87741e28a59e7912d2a34d5,GMX LP (Arbitrum),GLP,Good,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
https://www.notion.so/Gains-GNS-Staking-33084a3449b64fb69263dfac498982c5,Gains Network,GNS,Best,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
,Gemini dollar,GUSD,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
,Illuvium,ILV,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Trader-Joe-Fee-Sharing-131193340c4f447294211c14e03d249b,Joe Token,JOE,Best,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/stake-link-LINK-Staking-53b1cea73ef044be813fe1867abd4d20, https://www.notion.so/Yearn-LINK-Lending-eb9c0dd3bc8a403daaa0ea75246b1422",ChainLink Token (Ethereum),LINK,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Uniswap-LINK-ETH-Market-Making-30bp-c26ee7c17ec5405ea45aa48a385922df,ChainLink Token (Arbitrum),LINK,Best,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
https://www.notion.so/Beefy-USD-Market-Making-0f4b8d24b90848c3aae26a5832940a6c,LUSD Stablecoin (Optimism),LUSD,Good,https://www.notion.so/Optimism-bc636b25a65b4524ac249b8e626cad75
"https://www.notion.so/Liquity-USD-Stability-Pool-41dbf0f1bb884e26a37e5ed7ff0056e3, https://www.notion.so/Curve-USD-Market-Making-e4b30900f7ef4d79b68552e4283eaf17, https://www.notion.so/Yearn-USD-Market-Making-5b592a20fb6542b7ab0c5145c07d924b, https://www.notion.so/Yearn-LUSD-Staking-94c908ee124042a98af13cfa04b2492b",LUSD Stablecoin (Ethereum),LUSD,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
,Wrapped MATIC,WMATIC,Best,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
