Name,Risk Rating (Exponential),Protocol URL (Exponential),Related Pools
Beethoven X,Watch Out,https://exponential.fi/protocols/561427d4-1df3-4387-9e7a-3c0f3140870b,"https://www.notion.so/Beethoven-ETH-Market-Making-e40bcbca0ff84622bb894183ceaf4856, https://www.notion.so/Beethoven-USD-Market-Making-01d06239478d424c8a1640d198871ef0, https://www.notion.so/Beethoven-Tricrypto-Market-Making-3580d5a14152427a9a09df1e7acd451c, https://www.notion.so/Beethoven-FTM-Tricrypto-Market-Making-bb4c41e61f83404089766bcd1c704dec, https://www.notion.so/Beethoven-OP-ETH-USD-Market-Making-6a72960473ea47c286147e3981f5cfe5, https://www.notion.so/Beethoven-USD-Market-Making-fb6c2cb47e2e419eb83eb2e501c17400, https://www.notion.so/Beethoven-USD-Market-Making-fddfddcfc4b248909d242387c058c119"
BendDAO,Watch Out,https://exponential.fi/protocols/cf78ad73-9392-4939-bd56-91ee64df2306,"https://www.notion.so/BendDAO-ETH-Lending-d5353f21ae2c45c684f6f38eada4ac8b, https://www.notion.so/BendDAO-Fee-Sharing-8131b482a2ef4463b89726b8ea7cbf71"
Benqi,Average,https://exponential.fi/protocols/4a83ec42-e071-4cdc-aa16-4748c13bd534,"https://www.notion.so/Benqi-BTC-Lending-8da7f32f90c74b64966dc93bce533868, https://www.notion.so/Benqi-BTC-Lending-f0af699402a540678cf010c9b4ab1f99, https://www.notion.so/Benqi-USD-Lending-c2e15f44eb4644358827d6df8645e683, https://www.notion.so/Benqi-USD-Lending-90981e708fad449bb68cd7f3e7521dfa, https://www.notion.so/Benqi-AVAX-Lending-6876ae3d21a14ce2bd3865438239562f, https://www.notion.so/Benqi-AVAX-Lending-577b3c52438d402388add34fae8d0622, https://www.notion.so/Benqi-USD-Lending-b21cd24be624428894607d9b02d91438, https://www.notion.so/Benqi-ETH-Lending-3d34d4d8a8704f6c9f2a4a89f1774150"
Bengi Liquid Staking,Average,https://exponential.fi/protocols/590a5c3e-d007-4e0f-88c9-6a05c77fbe2d,
Binance Bridge,Watch Out,https://exponential.fi/protocols/1fabbc1d-7773-42f2-ab44-472b3eb53feb,
Biswap,Watch Out,https://exponential.fi/protocols/aba69a3a-c567-4026-94e4-93a53dc5112f,https://www.notion.so/Biswap-BTC-USD-Market-Making-fa442764b49e4a58aa3815d79094bc29
Chicken Bonds,Watch Out,https://exponential.fi/protocols/6ef1a842-79d7-4ed3-ba1e-61a95f84f33f,https://www.notion.so/Chicken-Bonds-USD-Bonding-0741980e269240dfb3a60ab6bc5b0998
Clearpool,Watch Out,https://exponential.fi/protocols/311db98d-13e9-450c-aa68-e484837f1cd8,https://www.notion.so/Clearpool-Auros-USD-Lending-e9deff51dc3e403d86f0241c9b8ab517
Clipper,Average,https://exponential.fi/protocols/c092cc59-98ac-448f-8420-e7aa69987ffd,"https://www.notion.so/Clipper-Tricrypto-LINK-OP-Market-Making-72f493cf3cf84dbb97a576eb2f8613c0, https://www.notion.so/Clipper-Tricrypto-MATIC-Market-Making-ef19e460d97c4a58a2366e9a7d7eed8f, https://www.notion.so/Clipper-Tricrypto-Market-Making-7e0de2bb24024e5c9911d083a42ff43a"
Coinbase Liquid Staking,Average,https://exponential.fi/protocols/f7f757dd-aa51-461e-8440-124823eeb200,https://www.notion.so/Coinbase-ETH-Staking-93178d0c9df341548a6512544cc951ec
