pool_name,protocolo,assets,risk,yield,url
Balancer ETH Market Making,https://www.notion.so/Balancer-84f749d54eef479fb6da9bfbc4aca07e,"https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501, https://www.notion.so/Ether-083c480c6565470385190396104819ad",B,0.0582,https://exponential.fi/pools/ef2777db-c3c2-4836-abbe-ad0eba1eabf5
Balancer ETH Market Making,https://www.notion.so/Balancer-84f749d54eef479fb6da9bfbc4aca07e,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Rocket-Pool-ETH-Ethereum-f2ff381ee89d46a7be45151919db9722",B,0.0512,https://exponential.fi/pools/0383600e-fc61-4e2e-b16d-229d5d9fc2bc
Lido ETH Staking,https://www.notion.so/Lido-798d6b54fe37419ba77ad8184aa58865,https://www.notion.so/Ether-083c480c6565470385190396104819ad,A,0.0493,https://exponential.fi/pools/bf2ee737-848b-4e3e-8125-f75cc8e4de53
Rocket Pool ETH Staking,https://www.notion.so/Rocket-Pool-1a769ff20d1845bcb50ee690a45de4fd,https://www.notion.so/Ether-083c480c6565470385190396104819ad,A,0.0446,https://exponential.fi/pools/fbac9036-f30b-4b8a-b39a-ef74900d6faa
Beethoven Tricrypto Market Making,https://www.notion.so/Beethoven-X-708095aef6614b3d90e59e26d44b8fd6,"https://www.notion.so/Wrapped-BTC-Optimism-d62e75786298497b88bf31e19e771af2, https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501",D,0.0192,https://exponential.fi/pools/f0680d22-e3f3-4ab6-990b-4fa2eb3c309d
Yearn ETH Market Making,https://www.notion.so/Yearn-34a1ee33e55f4ee7b3b9a204d8508119,"https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426, https://www.notion.so/Ether-083c480c6565470385190396104819ad",B,0.0432,https://exponential.fi/pools/9bc039a7-7d1b-44eb-b20b-35cc923c23b6
Coinbase ETH Staking,https://www.notion.so/Coinbase-Liquid-Staking-393f51a88a8a4a1c8e793b166a66d636,https://www.notion.so/Ether-083c480c6565470385190396104819ad,B,0.0399,https://exponential.fi/pools/90108fda-bb2a-440f-b4b2-66047c1cbe13
Curve ETH Market Making,https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Frax-Ether-7125030fffb04b6f9dbe876def5784fe",C,0.0328,https://exponential.fi/pools/a6ef04dc-a194-49bf-872a-ed6427b0f988
Euler ETH Lending,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501,B,0.0067,https://exponential.fi/pools/164bf12d-0b41-4b2d-ad9e-0946710014f5
Gearbox ETH Lending,https://www.notion.so/Gearbox-bd6923fd8d06439f89f2a99edc368362,https://www.notion.so/Wrapped-stETH-551469e62ada493e8fb24d255f3b2501,B,0.0007,https://exponential.fi/pools/d10ae8db-61b1-4768-a700-c5a272b6b25e
Pendle USDC Yield Token (3/29),https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316",F,0.805,https://exponential.fi/pools/464c039b-e7dc-4952-941f-b42c090733a7
Clipper Tricrypto-LINK-OP Market Making,https://www.notion.so/Clipper-3a833af08e3f4193b30b9e0b4ae42ce8,"https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb, https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5, https://www.notion.so/Wrapped-BTC-Optimism-d62e75786298497b88bf31e19e771af2, https://www.notion.so/Optimism-5af2ff956ea14d0bbf162c6c1199d7f2, https://www.notion.so/ChainLink-Optimism-7b127b770bf04751b9ae82907257fae0",C,0.4539,https://exponential.fi/pools/43a73e3e-100c-45c3-b0d7-641ea7f60e70
Clipper Tricrypto-MATIC Market Making,https://www.notion.so/Clipper-3a833af08e3f4193b30b9e0b4ae42ce8,"https://www.notion.so/Dai-Stablecoin-PoS-Polygon-b008df7a3ed44f6ba265a4aebe9a58d0, https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/Wrapped-Ether-PoS-Polygon-63f36aeca52a416a8f7a6534435bc69f, https://www.notion.so/Tether-USD-PoS-Polygon-f7228cfada3b4c2b94e836181091cd7d, https://www.notion.so/Wrapped-BTC-PoS-Polygon-414791a3d66e44ddaa1d9e633b4e3d59, https://www.notion.so/MATIC-e22993a7275f4e0788241f86bba81d15",C,0.3834,https://exponential.fi/pools/7a1d3f67-311c-47f1-bb0a-f0fd094c96b8
